Control_ID,Control_Title,Control_Description,Category,Subcategory,Level_1_Maturity,Level_2_Maturity,Level_3_Maturity,Level_4_Maturity
PR.AT-02,Awareness and Training,Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind,Protect,Awareness and Training,One-size-fits-all training. Technical roles receive no specialized content. Executives exempt. Training irrelevant to most.,Some role differentiation in training. Technical staff get basic secure coding. Limited customization. Relevance improving slowly.,Comprehensive role-specific training paths. Technical depth for security-critical roles. Executive briefings on risk. Clear competencies defined.,AI-customized training for each individual. Virtual labs for hands-on practice. Continuous skill assessment and development.
PR.DS-01,Data Security,The confidentiality, integrity, and availability of data-at-rest are protected,Protect,Data Security,No encryption at rest. Data stored in clear text. Laptops unencrypted. Database encryption not implemented. Compliance failures.,Encryption for laptops and some databases. Key management ad hoc. Legacy systems exempt. Implementation inconsistent.,Comprehensive encryption at rest for all sensitive data. Centralized key management. Regular validation of encryption status.,Automated encryption with classification-based policies. Hardware security modules. Quantum-resistant encryption deployed.
PR.DS-02,Data Security,The confidentiality, integrity, and availability of data-in-transit are protected,Protect,Data Security,Clear text protocols prevalent. No network encryption standards. Email sent unencrypted. Data exposed in transit.,TLS for external connections. Internal traffic often unencrypted. Some email encryption available. VPNs for remote access.,Pervasive encryption in transit. Strong protocol requirements. Automated certificate management. All communications protected.,End-to-end encryption with perfect forward secrecy. Automated protocol updates. Quantum-safe communications.
PR.DS-10,Data Security,The confidentiality, integrity, and availability of data-in-use are protected,Protect,Data Security,No protection for data in use. Memory dumps expose sensitive data. Processing in clear text. Application-level encryption absent.,Limited data-in-use protection. Some application encryption. Basic memory protection. Database field encryption for critical data.,Comprehensive data-in-use protection including memory encryption. Application-level security controls. Secure enclaves for sensitive processing.,Advanced confidential computing with hardware-based protection. Homomorphic encryption enables secure processing. Real-time data-in-use monitoring.
PR.DS-11,Data Security,"Backups of data are created, protected, maintained, and tested",Protect,Data Security,Backups ad hoc or non-existent. No testing performed. Backup media unprotected. Recovery failures common during actual need.,Basic backup schedule for critical systems. Annual testing reveals gaps. Limited encryption. Some offsite storage but inconsistent.,Comprehensive backup strategy with automated execution. Regular testing validates recoverability. Encrypted backups with secure offsite storage.,Continuous data protection with instant recovery capabilities. Immutable backups prevent ransomware impact. Automated testing ensures reliability.
PR.PS-01,Platform Security,Configuration management practices are established and applied,Protect,Platform Security,No configuration standards. Each system unique. Configuration drift rampant. Standards not documented. Security varies wildly.,Basic standards for major platforms. Documentation exists but outdated. Limited enforcement. Many exceptions granted.,Comprehensive baselines for all platforms. Automated deployment and enforcement. Regular reviews and updates. Minimal exceptions.,Dynamic baselines adjusted for threats. Self-maintaining configurations. AI-optimized security settings. Continuous compliance.
PR.PS-02,Platform Security,"Software is maintained, replaced, and removed commensurate with risk",Protect,Platform Security,No software maintenance program. Patches avoided. End-of-life software common. Removal processes absent. Technical debt growing.,Basic patching for critical vulnerabilities. Some lifecycle tracking. Removal happens eventually. Risk consideration minimal.,Risk-based software maintenance program. Regular patching cycles. Planned replacement before end-of-life. Secure removal procedures.,Automated software lifecycle management. Predictive replacement planning. Risk-driven patch prioritization. Zero technical debt.
PR.PS-03,Platform Security,"Hardware is maintained, replaced, and removed commensurate with risk",Protect,Platform Security,Hardware runs until failure. No maintenance schedule. Disposal without data sanitization. Replacement reactive only.,Basic maintenance contracts for critical hardware. Some lifecycle planning. Disposal procedures exist but compliance varies.,Comprehensive hardware lifecycle management. Preventive maintenance based on criticality. Secure disposal with verification.,Predictive hardware maintenance using IoT sensors. Automated replacement workflows. Certified destruction processes. Optimal lifecycle management.
PR.PS-04,Platform Security,Log records are generated and made available for continuous monitoring,Protect,Platform Security,Minimal logging. Logs overwritten quickly. No centralization. Critical events not captured. Forensics impossible.,Basic logging for some systems. Limited retention. Manual review during incidents. Coverage gaps significant.,Comprehensive logging strategy with centralization. Adequate retention periods. Automated analysis capabilities. Full coverage achieved.,Intelligent logging with dynamic retention. Real-time analysis and correlation. Predictive analytics from log data.
PR.PS-05,Platform Security,Installation and execution of unauthorized software are prevented,Protect,Platform Security,No controls on software installation. Users install anything. Malware common. Shadow IT rampant. Control non-existent.,Basic application whitelisting on some systems. Admin rights restricted for some users. Exceptions common. Enforcement inconsistent.,Comprehensive application control across all platforms. Whitelisting with rare exceptions. Regular reviews of authorized software.,Zero-trust application control. AI-powered threat detection for unknown software. Automated policy updates based on risk.
PR.PS-06,Platform Security,"Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle",Protect,Platform Security,No secure development practices. Security bolted on after. Developers lack security training. Vulnerabilities designed in.,Basic secure coding guidelines. Some security testing. Limited developer training. Security often sacrificed for speed.,Comprehensive SDLC with security built in. Regular security testing. Developer security champions. Clear security requirements.,AI-assisted secure development. Automated security testing throughout. Predictive vulnerability prevention. Security by design.
PR.IR-01,Tech Infra Res,Networks and environments are protected from unauthorized logical access and usage,Protect,Technology Infrastructure Resilience,Networks unprotected. No segmentation. Default credentials everywhere. Unauthorized access trivial. Perimeter non-existent.,Basic firewalls at perimeter. Some network segmentation. Access controls exist but poorly maintained. Many vulnerabilities remain.,Comprehensive network security with defense in depth. Micro-segmentation implemented. Strong access controls. Regular assessments.,Zero-trust network architecture. Dynamic segmentation based on risk. AI-powered threat detection. Self-defending networks.
PR.IR-02,Tech Infra Res,The organization's technology assets are protected from environmental threats,Protect,Technology Infrastructure Resilience,No environmental protections. Single points of failure. No redundancy. Environmental monitoring absent. Failures from power/cooling common.,Basic UPS and cooling for data center. Limited redundancy. Some environmental monitoring. Protection gaps remain.,Comprehensive environmental controls with redundancy. Real-time monitoring and alerting. Regular testing. Geographic distribution.,Predictive environmental management. Self-healing infrastructure. Extreme weather resilience. Near-zero environmental impact.
PR.IR-03,Tech Infra Res,Mechanisms are implemented to achieve resilience requirements in normal and adverse situations,Protect,Technology Infrastructure Resilience,No resilience planning. Systems fragile. Minor issues cascade. Recovery depends on heroics. Resilience not considered.,Basic redundancy for critical systems. Some disaster recovery planning. Limited testing. Resilience gaps identified slowly.,Comprehensive resilience architecture with multiple failure scenarios addressed. Regular testing including chaos engineering. Clear recovery objectives.,Anti-fragile systems that improve under stress. Continuous resilience validation. Automated failover with zero data loss.
PR.IR-04,Tech Infra Res,Adequate resource capacity to ensure availability is maintained,Protect,Technology Infrastructure Resilience,No capacity planning. Systems fail when limits reached. Performance degradation accepted. Availability not measured.,Basic capacity monitoring for critical systems. Reactive upgrades when issues arise. Some redundancy implemented. Metrics manual.,Proactive capacity management with trend analysis. N+1 redundancy for critical systems. Clear availability targets met.,Predictive capacity optimization. Auto-scaling infrastructure. Self-healing systems. Near 100% availability achieved.
DE.CM-01,Continuous Monitoring,Networks and network services are monitored to find potentially adverse events,Detect,Security Continuous Monitoring,No security monitoring. Infrastructure invisible. Attacks undetected. Monitoring equals uptime checks only. Security blind spots everywhere.,Basic monitoring of some infrastructure. Focus on availability. Limited security context. Coverage gaps significant. Mostly reactive.,Comprehensive infrastructure monitoring with security focus. Full visibility achieved. Real-time alerting. Continuous coverage validation.,Intelligent infrastructure monitoring with predictive analytics. Self-optimizing detection. Zero blind spots. Proactive threat prevention.
DE.CM-02,Continuous Monitoring,The physical environment is monitored to find potentially adverse events,Detect,Security Continuous Monitoring,Physical security separate from cyber. No environmental monitoring. Physical breaches undetected. Environmental threats ignored.,Basic physical access logging. Some camera coverage. Limited integration with cyber. Environmental monitoring minimal. Correlation manual.,Integrated physical and cyber monitoring. Comprehensive sensor coverage. Automated correlation. Environmental threat detection. Real-time response.,AI-powered physical security with predictive capabilities. Advanced behavioral analytics. Perfect physical-cyber correlation. Zero physical incidents.
DE.CM-03,Continuous Monitoring,Personnel activity and technology usage are monitored to find potentially adverse events,Detect,Security Continuous Monitoring,No user activity monitoring. Insider threats invisible. Privacy prevents all monitoring. Malicious insiders thrive. Detection impossible.,Basic logon monitoring. Some privileged user tracking. Limited behavior visibility. High false positives. Privacy concerns limit scope.,Comprehensive user monitoring with privacy safeguards. Behavioral baselines established. Anomaly detection deployed. Clear policies.,Intelligent user behavior analytics. Predictive insider threat detection. Privacy-preserving monitoring. Continuous risk scoring.
DE.CM-06,Continuous Monitoring,External service provider activities and services are monitored to find potentially adverse events,Detect,Security Continuous Monitoring,No visibility into external services. Cloud usage unmonitored. API calls invisible. Shadow IT rampant. External risks unknown.,Basic monitoring of sanctioned services. Limited API visibility. Shadow IT discovery sporadic. Coverage gaps significant.,Comprehensive external service monitoring. API security included. Shadow IT detection automated. Risk assessment continuous.,Real-time external service risk scoring. Predictive shadow IT prevention. Automated policy enforcement. Complete visibility.
DE.CM-09,Continuous Monitoring,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events",Detect,Security Continuous Monitoring,No monitoring of computing resources. Runtime environments opaque. Software behavior unknown. Data access untracked.,Basic monitoring of servers and endpoints. Some application monitoring. Runtime visibility limited. Data access logs incomplete.,Comprehensive monitoring across all computing resources. Runtime security implemented. Full software behavior visibility. Data access tracked.,Continuous runtime protection with AI analysis. Predictive anomaly detection. Complete visibility into all computing activities.
DE.AE-02,Adv Event Analysis,Potentially adverse events are analyzed to better understand associated activities,Detect,Adverse Event Analysis,No analysis of detection information. Alerts cleared without investigation. Patterns missed. Learning opportunity lost.,Basic triage of high-priority alerts. Limited analysis depth. Many false positives. Context often missing. Backlogs common.,Comprehensive analysis framework. Automated enrichment. Skilled analysts. Pattern recognition. Continuous improvement from findings.,AI-powered analysis with human oversight. Predictive pattern detection. Real-time threat intelligence integration. Near-perfect accuracy.
DE.AE-03,Adv Event Analysis,Information is correlated from multiple sources,Detect,Adverse Event Analysis,No event correlation. Isolated alerts. Attack campaigns invisible. Related events missed. Detection depends on single events.,Basic SIEM with simple correlation rules. Limited data sources. Rules outdated. Many false positives. Manual correlation attempted.,Advanced correlation across all security tools. Custom use cases. Regular tuning. Multiple correlation methods. High fidelity detection.,Intelligent correlation using graph analytics. Real-time pattern matching. Predictive attack path analysis. Zero missed campaigns.
DE.AE-04,Adv Event Analysis,The estimated impact and scope of adverse events are understood,Detect,Adverse Event Analysis,Impact unknown until damage visible. No method for rapid impact assessment. Business consequences discovered later. Response decisions made blindly.,Basic impact scoring using generic criteria. Limited understanding of business context. Manual impact assessment takes hours. Accuracy questionable.,Structured impact assessment with business context. Asset criticality drives impact scoring. Automated data gathering speeds assessment.,Real-time impact modeling using digital twins. Automated business impact calculation. Predictive impact analysis for ongoing attacks.
DE.AE-06,Adv Event Analysis,Information on adverse events is provided to authorized staff and tools,Detect,Adverse Event Analysis,Event information stuck in silos. No sharing mechanisms. Authorized staff unaware. Tools operate independently. Information flow broken.,Basic alert routing to some staff. Limited integration between tools. Manual information sharing. Delays common. Coverage gaps.,Comprehensive event routing based on roles and responsibilities. Full tool integration. Automated information distribution. Real-time sharing.,Intelligent information routing with context awareness. Predictive alert distribution. Perfect information flow to all authorized parties.
DE.AE-07,Adv Event Analysis,Cyber threat intelligence and other contextual information are integrated into the analysis,Detect,Adverse Event Analysis,No threat intelligence integration. Analysis lacks context. External information ignored. Decisions made in vacuum.,Basic threat feeds available but not integrated. Manual correlation with events. Limited contextual data. Integration sporadic.,Comprehensive threat intelligence integration. Automated enrichment with context. Multiple intelligence sources. Clear improvement in analysis.,Real-time intelligence correlation with all events. Predictive threat modeling. Complete contextual awareness. Perfect detection accuracy.
DE.AE-08,Adv Event Analysis,Incidents are declared when adverse events meet the defined incident criteria,Detect,Adverse Event Analysis,No incident criteria. Declaration arbitrary. Many incidents missed. Declaration delayed. Inconsistent process. Confusion common.,Basic severity definitions exist. Declaration often subjective. Delays common while debating. Some documentation. Process varies.,Clear incident thresholds with automated triggers. Consistent declaration process. Documented criteria. Regular reviews and updates.,AI-powered incident declaration. Predictive incident identification. Real-time business impact assessment. Perfect declaration timing.
RS.MA-01,Incident Management,The incident response plan is executed in coordination with relevant third parties once an incident is declared,Respond,Incident Management,No response plan exists. Each incident handled differently. Panic mode activated. Damage amplified by poor response. Chaos reigns.,Basic incident response plan rarely updated. Contact lists outdated. Procedures generic. Execution problematic. Limited effectiveness.,Comprehensive response plans with regular updates. Clear procedures and roles. Regular drills. Automated elements. Good execution.,Adaptive response plans with AI orchestration. Real-time plan optimization. Predictive response actions. Near-perfect execution.
RS.MA-02,Incident Management,Incident reports are triaged and validated,Respond,Incident Management,No triage process. All incidents treated equally. Validation non-existent. False positives waste resources. Real incidents missed.,Basic triage based on source and severity. Limited validation capabilities. Many false positives. Manual processes slow.,Structured triage with clear criteria. Automated validation where possible. Skilled analysts verify incidents. Low false positive rate.,AI-powered triage with predictive prioritization. Automated validation using multiple data sources. Near-zero false positives.
RS.MA-03,Incident Management,Incidents are categorized and prioritized,Respond,Incident Management,No categorization scheme. Priority based on who complains loudest. Business impact ignored. Resources misallocated.,Basic categories and priority levels. Subjective application. Limited business context. Prioritization often disputed.,Comprehensive categorization taxonomy. Clear prioritization based on business impact. Consistent application. Regular reviews.,Dynamic categorization with ML-driven insights. Real-time priority adjustment based on evolving impact. Perfect resource allocation.
RS.MA-04,Incident Management,Incidents are escalated or elevated as needed,Respond,Incident Management,No escalation procedures. Incidents stuck at wrong level. Critical issues buried. Escalation depends on individual initiative.,Basic escalation matrix exists. Manual escalation processes. Delays common. Some incidents never escalated properly.,Clear escalation criteria and paths. Automated triggers for critical incidents. Regular reviews of effectiveness. Timely escalations.,Intelligent escalation based on real-time impact analysis. Predictive escalation before impact grows. Perfect escalation timing.
RS.MA-05,Incident Management,The criteria for initiating incident recovery are applied,Respond,Incident Management,No recovery criteria defined. Recovery starts randomly. Containment and recovery overlap. Premature recovery attempts fail.,Basic recovery criteria exist but inconsistently applied. Manual decision processes. Some documentation of triggers.,Clear recovery initiation criteria linked to containment success. Automated checks validate readiness. Consistent application across incidents.,AI-driven recovery readiness assessment. Predictive success modeling. Automated initiation when criteria met. Optimal recovery timing.
RS.AN-03,Incident Analysis,Analysis is performed to establish what has taken place during an incident and the root cause of the incident,Respond,Incident Analysis,No incident analysis. Root cause unknown. Lessons not learned. Same incidents repeat. Analysis equals blame assignment.,Basic analysis of major incidents. Limited forensic capability. Focus on restoration not learning. Root cause often missed.,Comprehensive incident analysis framework. Skilled forensic team. Root cause methodology. Lessons learned process. Continuous improvement.,AI-enhanced incident analysis. Predictive root cause identification. Automated learning extraction. Industry-leading analysis capabilities.
RS.AN-06,Incident Analysis,"Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved",Respond,Incident Analysis,No investigation documentation. Actions not recorded. Evidence chain of custody broken. Legal requirements unmet.,Basic documentation during major investigations. Manual recording processes. Limited integrity protection. Gaps in records common.,Comprehensive investigation logging with automated tools. Chain of custody maintained. Digital signatures ensure integrity. Audit-ready documentation.,Blockchain-based investigation records. Automated action logging. Perfect chain of custody. Tamper-proof evidence preservation.
RS.AN-07,Incident Analysis,"Incident data and metadata are collected, and their integrity and provenance are preserved",Respond,Incident Analysis,No systematic data collection. Critical evidence overwritten. Metadata not preserved. Forensic value lost immediately.,Basic data collection for major incidents. Limited metadata capture. Manual processes miss volatile data. Integrity questionable.,Automated data and metadata collection. Comprehensive preservation procedures. Integrity verification throughout. Legal standards met.,Real-time evidence collection with perfect preservation. AI-driven metadata extraction. Quantum-proof integrity verification.
RS.AN-08,Incident Analysis,An incident's magnitude is estimated and validated,Respond,Incident Analysis,Incident magnitude unknown. Impact assessment guesswork. No validation process. Magnitude often underestimated significantly.,Basic impact estimation using technical metrics. Limited business context. Validation happens post-incident. Accuracy varies.,Structured magnitude assessment including business impact. Multiple validation methods. Regular calibration improves accuracy. Clear metrics.,Predictive magnitude modeling with real-time validation. AI correlates technical and business impacts. Near-perfect accuracy achieved.
RS.CO-02,Reporting and Comms,Internal and external stakeholders are notified of incidents,Respond,Incident Response Reporting and Communication,No notification procedures. Stakeholders learn through rumors. Legal requirements missed. Communications ad hoc. Trust damaged.,Basic notification lists exist. Manual processes cause delays. Some regulatory requirements met. Inconsistent messaging. Delays common.,Automated notification system with escalation. Regulatory timelines tracked. Template communications ready. Audit trail maintained.,Intelligent notification routing. Predictive stakeholder impact assessment. Real-time communication optimization. Perfect notification timing.
RS.CO-03,Reporting and Comms,Information is shared with designated internal and external stakeholders,Respond,Incident Response Reporting and Communication,No information sharing. Incidents hidden. Valuable intelligence hoarded. Partners uninformed. Community benefits lost.,Limited sharing through mandatory reporting. Minimal voluntary sharing. Information sanitization inconsistent. Value not recognized.,Active information sharing program. Clear guidelines for appropriate sharing. Regular participation in sharing communities. Mutual benefits realized.,Automated intelligent sharing with privacy preservation. Real-time threat intelligence exchange. Predictive value optimization. Maximum community benefit.
RS.MI-01,Incident Mitigation,Incidents are contained,Respond,Incident Mitigation,No containment procedures. Incidents spread unchecked. Panic isolation breaks business. Containment causes more damage. Ineffective response.,Basic containment for common scenarios. Manual execution slow. Business impact not considered. Effectiveness varies significantly.,Risk-based containment strategies. Automated isolation capabilities. Business continuity considered. Regular drills improve execution.,Intelligent containment with minimal business impact. Predictive spread analysis. Automated micro-containment. Near-instant response.
RS.MI-02,Incident Mitigation,Incidents are eradicated,Respond,Incident Mitigation,Mitigation equals rebuilding systems. Root cause persists. Temporary fixes fail. Problems resurface quickly. Whack-a-mole approach.,Basic mitigation procedures exist. Focus on symptoms not causes. Limited validation of success. Reinfection common.,Comprehensive mitigation addressing root causes. Validation procedures ensure success. Alternative mitigations ready. High success rate.,AI-optimized mitigation selection. Predictive effectiveness modeling. Automated mitigation deployment. Near-perfect first-time success.
RC.RP-01,Incident Recovery Plan,The recovery portion of the incident response plan is executed once initiated from the incident response process,Recover,Incident Recovery Plan Execution,No recovery plans. Making it up as we go. Each recovery unique chaos. Extended outages normal. Success equals luck.,Basic recovery procedures for some systems. Plans outdated. Manual execution error-prone. Recovery times excessive.,Comprehensive recovery plans regularly tested. Clear priorities established. Some automation deployed. RTOs usually met.,Intelligent recovery orchestration. Predictive failure prevention. Automated recovery execution. RTOs consistently exceeded.
RC.RP-02,Incident Recovery Plan,"Recovery actions are selected, scoped, prioritized, and performed",Recover,Incident Recovery Plan Execution,Recovery by trial and error. No documented procedures. Critical steps missed. Data loss common. Extended downtime.,Basic recovery runbooks exist. Limited testing reveals gaps. Manual processes slow. Some data loss accepted.,Structured recovery procedures validated through testing. Automated where possible. Minimal data loss. Business priorities drive sequence.,AI-optimized recovery sequencing. Predictive resource allocation. Zero data loss achieved. Minimal business impact.
RC.RP-03,Incident Recovery Plan,The integrity of backups and other restoration assets is verified before using them for restoration,Recover,Incident Recovery Plan Execution,Backup integrity unknown. Corruption discovered during recovery. No verification procedures. Recovery failures common. Trust misplaced.,Basic integrity checks for some backups. Manual verification processes. Limited testing. Surprises during recovery still occur.,Automated integrity verification for all restoration assets. Regular testing validates backups. Clear procedures prevent corrupted restores.,Continuous integrity monitoring with predictive failure detection. Blockchain verification of backup validity. Perfect restoration assurance.
RC.RP-04,Incident Recovery Plan,Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms,Recover,Incident Recovery Plan Execution,Recovery ends at restoration. No consideration of new normal. Security posture returns to pre-incident state. Lessons ignored.,Basic consideration of critical functions. Limited security improvements post-incident. Some operational changes but not systematic.,Comprehensive evaluation of post-incident requirements. Security posture improved based on lessons. New operational norms documented and implemented.,AI-driven optimization of post-incident operations. Predictive modeling of future risks. Automated implementation of improved controls.
RC.RP-05,Incident Recovery Plan,"The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed",Recover,Incident Recovery Plan Execution,No verification after restoration. Systems returned to service prematurely. Integrity compromised. Problems discovered by users.,Basic smoke tests after restoration. Limited integrity verification. Some user acceptance testing. Issues sometimes persist.,Comprehensive integrity verification procedures. Automated testing where possible. Full validation before return to service. High confidence achieved.,Real-time integrity verification during restoration. AI-powered validation of all components. Perfect restoration assurance before service resumption.
RC.RP-06,Incident Recovery Plan,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",Recover,Incident Recovery Plan Execution,Recovery end undefined. Declaration premature or delayed. Documentation incomplete or missing. Criteria subjective. Confusion common.,Basic criteria for recovery completion. Documentation often rushed. Declaration process inconsistent. Some items left incomplete.,Clear criteria for recovery completion with stakeholder agreement. Comprehensive documentation requirements. Consistent declaration process. Audit-ready records.,Automated recovery completion assessment. AI ensures all criteria met. Blockchain-verified declaration. Perfect documentation automatically generated.
RC.CO-03,Incident Recovery Comms,Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,Recover,Incident Recovery Communication,No recovery communications. Stakeholders left wondering. Progress unknown. Anxiety and speculation increase. Trust erodes.,Basic status emails sent sporadically. Limited detail provided. Update frequency insufficient. Many stakeholders uninformed.,Structured communication plan with regular updates. Role-based messaging ensures relevance. Multiple channels used. Good stakeholder satisfaction.,Real-time recovery dashboards for all stakeholders. AI-optimized communication timing and content. Predictive completion estimates. Perfect information flow.
RC.CO-04,Incident Recovery Comms,Public updates on incident recovery are shared using approved methods and messaging,Recover,Incident Recovery Communication,No public communication strategy. Information vacuum filled by speculation. Conflicting messages damage reputation. Media manages narrative.,Basic public statements prepared. Limited coordination with operations. Reactive messaging only. Social media monitoring weak.,Comprehensive public communication strategy. Pre-approved messaging templates. Proactive updates through multiple channels. Reputation protection focus.,AI-powered public sentiment analysis drives messaging. Real-time message optimization. Predictive reputation impact modeling. Perfect public communication.
